death_date,death_weekday,death_week_ending,age_elderly,deaths,deaths_per_100k,deaths_mean7,deaths_per_100k_mean7
2024-09-26,Thursday,2024-09-29,80+,1,0.5088,0.4286,0.2181
2024-09-25,Wednesday,2024-09-29,<60,0,0,0,0
2024-09-25,Wednesday,2024-09-29,60-69,0,0,0,0
2024-09-25,Wednesday,2024-09-29,70-79,0,0,0,0
2024-09-25,Wednesday,2024-09-29,80+,0,0,0.4286,0.2181
2024-09-24,Tuesday,2024-09-29,<60,0,0,0,0
2024-09-24,Tuesday,2024-09-29,60-69,0,0,0,0
2024-09-24,Tuesday,2024-09-29,70-79,0,0,0,0
2024-09-24,Tuesday,2024-09-29,80+,0,0,0.4286,0.2181
2024-09-23,Monday,2024-09-29,<60,0,0,0,0
2024-09-23,Monday,2024-09-29,60-69,0,0,0,0
2024-09-23,Monday,2024-09-29,70-79,0,0,0,0
2024-09-23,Monday,2024-09-29,80+,2,1.0177,0.4286,0.2181
2024-09-22,Sunday,2024-09-22,<60,0,0,0,0
2024-09-22,Sunday,2024-09-22,60-69,0,0,0,0
2024-09-22,Sunday,2024-09-22,70-79,0,0,0,0
2024-09-22,Sunday,2024-09-22,80+,0,0,0.2857,0.1454
2024-09-21,Saturday,2024-09-22,<60,0,0,0,0
2024-09-21,Saturday,2024-09-22,60-69,0,0,0,0
2024-09-21,Saturday,2024-09-22,70-79,0,0,0,0
2024-09-21,Saturday,2024-09-22,80+,0,0,0.2857,0.1454
2024-09-20,Friday,2024-09-22,<60,0,0,0,0
2024-09-20,Friday,2024-09-22,60-69,0,0,0,0
2024-09-20,Friday,2024-09-22,70-79,0,0,0,0
2024-09-20,Friday,2024-09-22,80+,0,0,0.4286,0.2181
2024-09-19,Thursday,2024-09-22,<60,0,0,0,0
2024-09-19,Thursday,2024-09-22,60-69,0,0,0,0
2024-09-19,Thursday,2024-09-22,70-79,0,0,0,0
2024-09-19,Thursday,2024-09-22,80+,1,0.5088,0.7143,0.3635
2024-09-18,Wednesday,2024-09-22,<60,0,0,0,0
2024-09-18,Wednesday,2024-09-22,60-69,0,0,0,0
2024-09-18,Wednesday,2024-09-22,70-79,0,0,0,0
2024-09-18,Wednesday,2024-09-22,80+,0,0,0.5714,0.2908
2024-09-17,Tuesday,2024-09-22,<60,0,0,0,0
2024-09-17,Tuesday,2024-09-22,60-69,0,0,0,0
2024-09-17,Tuesday,2024-09-22,70-79,0,0,0,0
2024-09-17,Tuesday,2024-09-22,80+,0,0,0.7143,0.3635
2024-09-16,Monday,2024-09-22,<60,0,0,0,0
2024-09-16,Monday,2024-09-22,60-69,0,0,0,0
2024-09-16,Monday,2024-09-22,70-79,0,0,0,0
2024-09-16,Monday,2024-09-22,80+,1,0.5088,0.8571,0.4362
2024-09-15,Sunday,2024-09-15,<60,0,0,0,0
2024-09-15,Sunday,2024-09-15,60-69,0,0,0,0
2024-09-15,Sunday,2024-09-15,70-79,0,0,0,0
2024-09-15,Sunday,2024-09-15,80+,0,0,0.8571,0.4362
2024-09-14,Saturday,2024-09-15,<60,0,0,0,0
2024-09-14,Saturday,2024-09-15,60-69,0,0,0,0
2024-09-14,Saturday,2024-09-15,70-79,0,0,0,0
2024-09-14,Saturday,2024-09-15,80+,1,0.5088,0.8571,0.4362
2024-09-13,Friday,2024-09-15,<60,0,0,0,0
2024-09-13,Friday,2024-09-15,60-69,0,0,0,0
2024-09-13,Friday,2024-09-15,70-79,0,0,0,0
2024-09-13,Friday,2024-09-15,80+,2,1.0177,0.7143,0.3635
2024-09-12,Thursday,2024-09-15,<60,0,0,0,0
2024-09-12,Thursday,2024-09-15,60-69,0,0,0,0
2024-09-12,Thursday,2024-09-15,70-79,0,0,0,0
2024-09-12,Thursday,2024-09-15,80+,0,0,0.4286,0.2181
2024-09-11,Wednesday,2024-09-15,<60,0,0,0,0
2024-09-11,Wednesday,2024-09-15,60-69,0,0,0,0
2024-09-11,Wednesday,2024-09-15,70-79,0,0,0,0
2024-09-11,Wednesday,2024-09-15,80+,1,0.5088,0.5714,0.2908
2024-09-10,Tuesday,2024-09-15,<60,0,0,0,0
2024-09-10,Tuesday,2024-09-15,60-69,0,0,0,0
2024-09-10,Tuesday,2024-09-15,70-79,0,0,0,0
2024-09-10,Tuesday,2024-09-15,80+,1,0.5088,0.5714,0.2908
2024-09-09,Monday,2024-09-15,<60,0,0,0,0
2024-09-09,Monday,2024-09-15,60-69,0,0,0,0
2024-09-09,Monday,2024-09-15,70-79,0,0,0,0
2024-09-09,Monday,2024-09-15,80+,1,0.5088,0.4286,0.2181
2024-09-08,Sunday,2024-09-08,<60,0,0,0,0
2024-09-08,Sunday,2024-09-08,60-69,0,0,0,0
2024-09-08,Sunday,2024-09-08,70-79,0,0,0.1429,0.038
2024-09-08,Sunday,2024-09-08,80+,0,0,0.2857,0.1454
2024-09-07,Saturday,2024-09-08,<60,0,0,0.1429,0.0038
2024-09-07,Saturday,2024-09-08,60-69,0,0,0,0
2024-09-07,Saturday,2024-09-08,70-79,0,0,0.1429,0.038
2024-09-07,Saturday,2024-09-08,80+,0,0,0.7143,0.3635
2024-09-06,Friday,2024-09-08,<60,0,0,0.1429,0.0038
2024-09-06,Friday,2024-09-08,60-69,0,0,0,0
